L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0,Type,PAG,Comment
282,L1_SingleJet8_Centrality_30_100_BptxAND,1,75451.7,411.488,0,20750.4,
283,L1_SingleJet16_Centrality_30_100_BptxAND,1,17151.8,196.19,0,2104.71,
284,L1_SingleJet24_Centrality_30_100_BptxAND,1,4443.35,99.8569,0,254.499,
285,L1_SingleJet28_Centrality_30_100_BptxAND,1,2906.13,80.757,0,133.555,
286,L1_SingleJet32_Centrality_30_100_BptxAND,1,1927.7,65.7722,0,74.8733,
287,L1_SingleJet36_Centrality_30_100_BptxAND,1,1272.41,53.4364,0,43.6251,
288,L1_SingleJet40_Centrality_30_100_BptxAND,1,863.985,44.0328,0,26.5686,
289,L1_SingleJet44_Centrality_30_100_BptxAND,1,610.4,37.0109,0,17.1536,
290,L1_SingleJet48_Centrality_30_100_BptxAND,1,435.359,31.2569,0,11.4603,
291,L1_SingleJet56_Centrality_30_100_BptxAND,1,181.774,20.1971,0,4.05421,
292,L1_SingleJet60_Centrality_30_100_BptxAND,1,136.891,17.5271,0,2.99476,
293,L1_SingleJet64_Centrality_30_100_BptxAND,1,103.229,15.2203,0,2.17964,
295,L1_SingleJet8_Centrality_50_100_BptxAND,1,70422.6,397.538,0,20402.9,
296,L1_SingleJet16_Centrality_50_100_BptxAND,1,12609.7,168.219,0,1813.13,
297,L1_SingleJet24_Centrality_50_100_BptxAND,1,1350.96,55.061,0,92.3238,
298,L1_SingleJet28_Centrality_50_100_BptxAND,1,648.55,38.15,0,31.8856,
299,L1_SingleJet32_Centrality_50_100_BptxAND,1,363.547,28.563,0,14.0549,
300,L1_SingleJet36_Centrality_50_100_BptxAND,1,206.459,21.5248,0,6.5827,
301,L1_SingleJet40_Centrality_50_100_BptxAND,1,125.671,16.7934,0,3.45235,
302,L1_SingleJet44_Centrality_50_100_BptxAND,1,94.2529,14.5435,0,2.35404,
303,L1_SingleJet48_Centrality_50_100_BptxAND,1,78.5441,13.2764,0,1.8931,
304,L1_SingleJet56_Centrality_50_100_BptxAND,1,38.15,9.25273,0,0.806427,
305,L1_SingleJet60_Centrality_50_100_BptxAND,1,31.4176,8.39672,0,0.636385,
306,L1_SingleJet64_Centrality_50_100_BptxAND,1,26.9294,7.77385,0,0.534379,
308,L1_SingleJet8_FWD_Centrality_30_100_BptxAND,1,1591.08,59.7542,0,106.941,
309,L1_SingleJet16_FWD_Centrality_30_100_BptxAND,1,888.671,44.6574,0,43.8824,
310,L1_SingleJet28_FWD_Centrality_30_100_BptxAND,1,307.444,26.2667,0,10.8901,
311,L1_SingleJet36_FWD_Centrality_30_100_BptxAND,1,136.891,17.5271,0,4.19962,
312,L1_SingleJet44_FWD_Centrality_30_100_BptxAND,1,38.15,9.25273,0,0.986203,
313,L1_SingleJet56_FWD_Centrality_30_100_BptxAND,1,6.73235,3.88693,0,0.139523,
